SUPPORT,PRESENCE_IN_ALL,PRESENCE_IN_BENIGN,PRESENCE_IN_MALWARE,SUPPORT_IN_ALL,SUPPORT_IN_BENIGN,SUPPORT_IN_MALWARE
,65,2,63,0.30%,0.00%,1.00%
.Rtl,1,0,1,0.00%,0.00%,0.00%
.tyu,1,0,1,0.00%,0.00%,0.00%
eoc,1,0,1,0.00%,0.00%,0.00%
.qdata,3,0,3,0.00%,0.00%,0.00%
.yidata,1,0,1,0.00%,0.00%,0.00%
BSHDHHD,2,0,2,0.00%,0.00%,0.00%
.3rdata,1,0,1,0.00%,0.00%,0.00%
3Boc,1,0,1,0.00%,0.00%,0.00%
"oc",1,0,1,0.00%,0.00%,0.00%
Egz91k,1,0,1,0.00%,0.00%,0.00%
bcqvjqa,1,0,1,0.00%,0.00%,0.00%
.idata,5564,4901,663,23.80%,29.10%,10.10%
[Koc,1,0,1,0.00%,0.00%,0.00%
.text,1,0,1,0.00%,0.00%,0.00%
Uf8S7URA,1,0,1,0.00%,0.00%,0.00%
/41,35,5,30,0.10%,0.00%,0.50%
.trdata,3,0,3,0.00%,0.00%,0.00%
.Scan40,1,0,1,0.00%,0.00%,0.00%
ncrubwi,1,0,1,0.00%,0.00%,0.00%
.reg,1,0,1,0.00%,0.00%,0.00%
vdmcgxc,1,0,1,0.00%,0.00%,0.00%
.rc,2,0,2,0.00%,0.00%,0.00%
.apiset,6,6,0,0.00%,0.00%,0.00%
lnasyht,1,0,1,0.00%,0.00%,0.00%
.petite,18,0,18,0.10%,0.00%,0.30%
_mvdata,1,0,1,0.00%,0.00%,0.00%
.nvFatBi,13,9,4,0.10%,0.10%,0.10%
.ex_rsc,1,0,1,0.00%,0.00%,0.00%
.adate,2,0,2,0.00%,0.00%,0.00%
lolo,1,0,1,0.00%,0.00%,0.00%
e,1,0,1,0.00%,0.00%,0.00%
BSS,185,4,181,0.80%,0.00%,2.80%
eeralrr,1,0,1,0.00%,0.00%,0.00%
/77,2,2,0,0.00%,0.00%,0.00%
/124,2,2,0,0.00%,0.00%,0.00%
hmdsfjj,1,0,1,0.00%,0.00%,0.00%
bero^fr,7,0,7,0.00%,0.00%,0.10%
.c2r,2,2,0,0.00%,0.00%,0.00%
.bss,2169,1938,231,9.30%,11.50%,3.50%
.bbbt,1,0,1,0.00%,0.00%,0.00%
9b+BsnzP,1,0,1,0.00%,0.00%,0.00%
.jgd,1,0,1,0.00%,0.00%,0.00%
.edata,1159,1082,77,5.00%,6.40%,1.20%
iwnsxpd,1,0,1,0.00%,0.00%,0.00%
IPPCODE,1,1,0,0.00%,0.00%,0.00%
enpwumm,1,0,1,0.00%,0.00%,0.00%
phefgkz,1,0,1,0.00%,0.00%,0.00%
.ndr64,4,4,0,0.00%,0.00%,0.00%
.gda,1,0,1,0.00%,0.00%,0.00%
HookCnt,1,1,0,0.00%,0.00%,0.00%
dzvwqib8,1,0,1,0.00%,0.00%,0.00%
MJlxC078,1,0,1,0.00%,0.00%,0.00%
.relob,1,0,1,0.00%,0.00%,0.00%
.WWR,2,0,2,0.00%,0.00%,0.00%
.didata,10,3,7,0.00%,0.00%,0.10%
.bind,1,0,1,0.00%,0.00%,0.00%
vbrjwag,1,0,1,0.00%,0.00%,0.00%
PROMAP,1,0,1,0.00%,0.00%,0.00%
K,1,0,1,0.00%,0.00%,0.00%
.pdata5,1,0,1,0.00%,0.00%,0.00%
.BRD,1,0,1,0.00%,0.00%,0.00%
imports,8,0,8,0.00%,0.00%,0.10%
.stab,19,15,4,0.10%,0.10%,0.10%
.clam01,6,0,6,0.00%,0.00%,0.10%
kldsbsc,1,0,1,0.00%,0.00%,0.00%
.data_cy,244,244,0,1.00%,1.40%,0.00%
.didat,1290,1277,13,5.50%,7.60%,0.20%
TEXT,1,1,0,0.00%,0.00%,0.00%
.fsddd,2,0,2,0.00%,0.00%,0.00%
U000,1,0,1,0.00%,0.00%,0.00%
.adata,49,0,49,0.20%,0.00%,0.70%
.clean,1,0,1,0.00%,0.00%,0.00%
jedsbrm,1,0,1,0.00%,0.00%,0.00%
.tls,2191,1598,593,9.40%,9.50%,9.10%
.flat,5,0,5,0.00%,0.00%,0.10%
.code,46,0,46,0.20%,0.00%,0.70%
/92,190,159,31,0.80%,0.90%,0.50%
.nkh,3,0,3,0.00%,0.00%,0.00%
.dedata,2,0,2,0.00%,0.00%,0.00%
.data2,7,0,7,0.00%,0.00%,0.10%
6515nnlv,1,0,1,0.00%,0.00%,0.00%
zpzptpj,1,0,1,0.00%,0.00%,0.00%
3dj0htan,1,0,1,0.00%,0.00%,0.00%
lfvced,1,0,1,0.00%,0.00%,0.00%
.av,1,0,1,0.00%,0.00%,0.00%
ejfzfsy,1,0,1,0.00%,0.00%,0.00%
.guids,18,18,0,0.10%,0.10%,0.00%
?g_Encry,2,2,0,0.00%,0.00%,0.00%
.gfids,1141,790,351,4.90%,4.70%,5.40%
qoyxmxn,1,0,1,0.00%,0.00%,0.00%
.wtq,8,0,8,0.00%,0.00%,0.10%
pec1,2,0,2,0.00%,0.00%,0.00%
PRODBG,1,0,1,0.00%,0.00%,0.00%
6swD,1,0,1,0.00%,0.00%,0.00%
.STL,7,4,3,0.00%,0.00%,0.00%
`,1,0,1,0.00%,0.00%,0.00%
gbjeovg,1,0,1,0.00%,0.00%,0.00%
xrsvbtk,1,0,1,0.00%,0.00%,0.00%
.USA,1,0,1,0.00%,0.00%,0.00%
.data,4,0,4,0.00%,0.00%,0.10%
coderpub,3,0,3,0.00%,0.00%,0.00%
CODE FMX,1,0,1,0.00%,0.00%,0.00%
hzgezro,1,0,1,0.00%,0.00%,0.00%
.bea1,3,0,3,0.00%,0.00%,0.00%
.gms,1,0,1,0.00%,0.00%,0.00%
.lif,8,0,8,0.00%,0.00%,0.10%
gtemnoa,1,0,1,0.00%,0.00%,0.00%
.asp,1,0,1,0.00%,0.00%,0.00%
.CRT,1452,1313,139,6.20%,7.80%,2.10%
dqtemgt,1,0,1,0.00%,0.00%,0.00%
PAGESENM,1,1,0,0.00%,0.00%,0.00%
kbrdhox,1,0,1,0.00%,0.00%,0.00%
",a",1,0,1,0.00%,0.00%,0.00%
.FISHPEP,19,0,19,0.10%,0.00%,0.30%
PAGER32C,6,6,0,0.00%,0.00%,0.00%
XswNlTz0,1,0,1,0.00%,0.00%,0.00%
/83,1,1,0,0.00%,0.00%,0.00%
.pmj,1,0,1,0.00%,0.00%,0.00%
NONPAGE,17,17,0,0.10%,0.10%,0.00%
.amy_Han,1,0,1,0.00%,0.00%,0.00%
.Katja,1,0,1,0.00%,0.00%,0.00%
5a3wxbvq,1,0,1,0.00%,0.00%,0.00%
.nkh,4,0,4,0.00%,0.00%,0.10%
.clam07,3,0,3,0.00%,0.00%,0.00%
.vmp0,23,0,23,0.10%,0.00%,0.40%
.imrsiv,43,40,3,0.20%,0.20%,0.00%
.isoapis,1,1,0,0.00%,0.00%,0.00%
.dataa,1,0,1,0.00%,0.00%,0.00%
AUTO,1,0,1,0.00%,0.00%,0.00%
_winoc,1,0,1,0.00%,0.00%,0.00%
.clam08,1,0,1,0.00%,0.00%,0.00%
/96,1,1,0,0.00%,0.00%,0.00%
WPCHMAP,2,2,0,0.00%,0.00%,0.00%
.vc++,4,0,4,0.00%,0.00%,0.10%
.olvbg,1,0,1,0.00%,0.00%,0.00%
.MPRESS2,4,0,4,0.00%,0.00%,0.10%
JfPrH,1,0,1,0.00%,0.00%,0.00%
532bxodi,1,0,1,0.00%,0.00%,0.00%
js,1,0,1,0.00%,0.00%,0.00%
DATA,200,7,193,0.90%,0.00%,3.00%
hJFZn6,1,0,1,0.00%,0.00%,0.00%
yvoplco,1,0,1,0.00%,0.00%,0.00%
.textbss,15,2,13,0.10%,0.00%,0.20%
unnoywy,1,0,1,0.00%,0.00%,0.00%
BASE,2,2,0,0.00%,0.00%,0.00%
kfdgrqc,1,0,1,0.00%,0.00%,0.00%
.Inc,1,0,1,0.00%,0.00%,0.00%
.rmnet,29,0,29,0.10%,0.00%,0.40%
.2data,1,0,1,0.00%,0.00%,0.00%
.clam05,3,0,3,0.00%,0.00%,0.00%
VVR,1,0,1,0.00%,0.00%,0.00%
U,1,0,1,0.00%,0.00%,0.00%
PAGEPpoe,2,2,0,0.00%,0.00%,0.00%
3ext,1,0,1,0.00%,0.00%,0.00%
1eS,1,0,1,0.00%,0.00%,0.00%
.ajelhf,1,0,1,0.00%,0.00%,0.00%
.dada1,1,0,1,0.00%,0.00%,0.00%
}oc,1,0,1,0.00%,0.00%,0.00%
.4WA2,1,0,1,0.00%,0.00%,0.00%
vqrdwfw,1,0,1,0.00%,0.00%,0.00%
stub,1,0,1,0.00%,0.00%,0.00%
akhguas,1,0,1,0.00%,0.00%,0.00%
NONPAGED,1,1,0,0.00%,0.00%,0.00%
c,1,0,1,0.00%,0.00%,0.00%
AAA,1,0,1,0.00%,0.00%,0.00%
.wixburn,17,6,11,0.10%,0.00%,0.20%
einxghh,1,0,1,0.00%,0.00%,0.00%
vvnjglz,1,0,1,0.00%,0.00%,0.00%
.mjg,5,0,5,0.00%,0.00%,0.10%
uoc,1,0,1,0.00%,0.00%,0.00%
.fqac,1,0,1,0.00%,0.00%,0.00%
"
oc",1,0,1,0.00%,0.00%,0.00%
.data,2,0,2,0.00%,0.00%,0.00%
